Timestamp,BP_KW(kW)
01-Dec-23 1:05 AM ICT,0.7
01-Dec-23 1:10 AM ICT,0.7
01-Dec-23 1:15 AM ICT,0.7
01-Dec-23 1:20 AM ICT,0.7
01-Dec-23 1:25 AM ICT,0.7
01-Dec-23 1:30 AM ICT,0.7
01-Dec-23 1:35 AM ICT,0.7
01-Dec-23 1:40 AM ICT,0.7
01-Dec-23 1:45 AM ICT,0.7
01-Dec-23 1:50 AM ICT,1.4
01-Dec-23 1:55 AM ICT,1.4
01-Dec-23 2:00 AM ICT,1.4
01-Dec-23 2:05 AM ICT,1.4
01-Dec-23 2:10 AM ICT,1.4
01-Dec-23 2:15 AM ICT,1.4
01-Dec-23 2:20 AM ICT,1.4
01-Dec-23 2:25 AM ICT,1.4
01-Dec-23 2:30 AM ICT,1.4
01-Dec-23 2:35 AM ICT,1.4
01-Dec-23 2:40 AM ICT,1.4
01-Dec-23 2:45 AM ICT,1.4
01-Dec-23 2:50 AM ICT,1.4
01-Dec-23 2:55 AM ICT,1.4
01-Dec-23 3:00 AM ICT,1.4
01-Dec-23 3:05 AM ICT,1.4
01-Dec-23 3:10 AM ICT,1.4
01-Dec-23 3:15 AM ICT,0.8
01-Dec-23 3:20 AM ICT,0.7
01-Dec-23 3:25 AM ICT,0.7
01-Dec-23 3:30 AM ICT,0.7
01-Dec-23 3:35 AM ICT,0.7
01-Dec-23 3:40 AM ICT,0.7
01-Dec-23 3:45 AM ICT,0.7
01-Dec-23 3:50 AM ICT,0.7
01-Dec-23 3:55 AM ICT,0.7
01-Dec-23 4:00 AM ICT,0.7
01-Dec-23 4:05 AM ICT,0.7
01-Dec-23 4:10 AM ICT,0.7
01-Dec-23 4:15 AM ICT,0.7
01-Dec-23 4:20 AM ICT,0.7
01-Dec-23 4:25 AM ICT,0.7
01-Dec-23 4:30 AM ICT,0.7
01-Dec-23 4:35 AM ICT,0.7
01-Dec-23 4:40 AM ICT,0.7
01-Dec-23 4:45 AM ICT,0.7
01-Dec-23 4:50 AM ICT,0.7
01-Dec-23 4:55 AM ICT,0.7
01-Dec-23 5:00 AM ICT,0.7
01-Dec-23 5:05 AM ICT,0.7
01-Dec-23 5:10 AM ICT,0.7
01-Dec-23 5:15 AM ICT,0.7
01-Dec-23 5:20 AM ICT,0.7
01-Dec-23 5:25 AM ICT,0.7
01-Dec-23 5:30 AM ICT,0.6
01-Dec-23 5:35 AM ICT,0.2
01-Dec-23 5:40 AM ICT,0.2
01-Dec-23 5:45 AM ICT,0.2
01-Dec-23 5:50 AM ICT,0.2
01-Dec-23 5:55 AM ICT,0.2
01-Dec-23 6:00 AM ICT,0.2
01-Dec-23 6:05 AM ICT,0.2
01-Dec-23 6:10 AM ICT,0.2
01-Dec-23 6:15 AM ICT,0.2
01-Dec-23 6:20 AM ICT,0.2
01-Dec-23 6:25 AM ICT,0.2
01-Dec-23 6:30 AM ICT,0.2
01-Dec-23 6:35 AM ICT,0.2
01-Dec-23 6:40 AM ICT,0.2
01-Dec-23 6:45 AM ICT,0.6
01-Dec-23 6:50 AM ICT,0.8
01-Dec-23 6:55 AM ICT,0.7
01-Dec-23 7:00 AM ICT,0.5
01-Dec-23 7:05 AM ICT,0.5
01-Dec-23 7:10 AM ICT,0.5
01-Dec-23 7:15 AM ICT,0.5
01-Dec-23 7:20 AM ICT,0.5
01-Dec-23 7:25 AM ICT,0.5
01-Dec-23 7:30 AM ICT,6.1
01-Dec-23 7:35 AM ICT,7.6
01-Dec-23 7:40 AM ICT,8.2
01-Dec-23 7:45 AM ICT,22.5
01-Dec-23 7:50 AM ICT,12.5
01-Dec-23 7:55 AM ICT,3.0
01-Dec-23 8:00 AM ICT,4.6
01-Dec-23 8:05 AM ICT,8.1
01-Dec-23 8:10 AM ICT,7.8
01-Dec-23 8:15 AM ICT,7.2
01-Dec-23 8:20 AM ICT,7.6
01-Dec-23 8:25 AM ICT,13.9
01-Dec-23 8:30 AM ICT,3.1
01-Dec-23 8:35 AM ICT,23.4
01-Dec-23 8:40 AM ICT,16.9
01-Dec-23 8:45 AM ICT,13.7
01-Dec-23 8:50 AM ICT,14.2
01-Dec-23 8:55 AM ICT,11.0
