Timestamp,ACE_KW(kW)
16-Nov-23 1:05 AM ICT,0.7
16-Nov-23 1:10 AM ICT,0.6
16-Nov-23 1:15 AM ICT,0.6
16-Nov-23 1:20 AM ICT,0.8
16-Nov-23 1:25 AM ICT,0.6
16-Nov-23 1:30 AM ICT,0.5
16-Nov-23 1:35 AM ICT,0.6
16-Nov-23 1:40 AM ICT,0.4
16-Nov-23 1:45 AM ICT,0.5
16-Nov-23 1:50 AM ICT,0.6
16-Nov-23 1:55 AM ICT,0.4
16-Nov-23 2:00 AM ICT,0.5
16-Nov-23 2:05 AM ICT,0.5
16-Nov-23 2:10 AM ICT,0.6
16-Nov-23 2:15 AM ICT,0.5
16-Nov-23 2:20 AM ICT,0.5
16-Nov-23 2:25 AM ICT,0.5
16-Nov-23 2:30 AM ICT,0.6
16-Nov-23 2:35 AM ICT,0.6
16-Nov-23 2:40 AM ICT,0.6
16-Nov-23 2:45 AM ICT,0.7
16-Nov-23 2:50 AM ICT,0.5
16-Nov-23 2:55 AM ICT,0.4
16-Nov-23 3:00 AM ICT,0.6
16-Nov-23 3:05 AM ICT,0.4
16-Nov-23 3:10 AM ICT,0.4
16-Nov-23 3:15 AM ICT,0.8
16-Nov-23 3:20 AM ICT,0.5
16-Nov-23 3:25 AM ICT,0.4
16-Nov-23 3:30 AM ICT,0.5
16-Nov-23 3:35 AM ICT,0.4
16-Nov-23 3:40 AM ICT,0.4
16-Nov-23 3:45 AM ICT,0.6
16-Nov-23 3:50 AM ICT,0.6
16-Nov-23 3:55 AM ICT,0.6
16-Nov-23 4:00 AM ICT,0.6
16-Nov-23 4:05 AM ICT,0.5
16-Nov-23 4:10 AM ICT,0.6
16-Nov-23 4:15 AM ICT,0.5
16-Nov-23 4:20 AM ICT,0.6
16-Nov-23 4:25 AM ICT,0.6
16-Nov-23 4:30 AM ICT,0.4
16-Nov-23 4:35 AM ICT,0.4
16-Nov-23 4:40 AM ICT,0.6
16-Nov-23 4:45 AM ICT,0.4
16-Nov-23 4:50 AM ICT,0.4
16-Nov-23 4:55 AM ICT,0.6
16-Nov-23 5:00 AM ICT,0.4
16-Nov-23 5:05 AM ICT,0.5
16-Nov-23 5:10 AM ICT,0.5
16-Nov-23 5:15 AM ICT,0.5
16-Nov-23 5:20 AM ICT,0.6
16-Nov-23 5:25 AM ICT,0.6
16-Nov-23 5:30 AM ICT,0.8
16-Nov-23 5:35 AM ICT,0.6
16-Nov-23 5:40 AM ICT,0.5
16-Nov-23 5:45 AM ICT,0.4
16-Nov-23 5:50 AM ICT,0.4
16-Nov-23 5:55 AM ICT,0.5
16-Nov-23 6:00 AM ICT,0.4
16-Nov-23 6:05 AM ICT,0.7
16-Nov-23 6:10 AM ICT,0.4
16-Nov-23 6:15 AM ICT,0.4
16-Nov-23 6:20 AM ICT,0.5
16-Nov-23 6:25 AM ICT,0.4
16-Nov-23 6:30 AM ICT,0.5
16-Nov-23 6:35 AM ICT,0.6
16-Nov-23 6:40 AM ICT,0.5
16-Nov-23 6:45 AM ICT,0.5
16-Nov-23 6:50 AM ICT,0.5
16-Nov-23 6:55 AM ICT,0.5
16-Nov-23 7:00 AM ICT,0.6
16-Nov-23 7:05 AM ICT,0.5
16-Nov-23 7:10 AM ICT,0.6
16-Nov-23 7:15 AM ICT,0.4
16-Nov-23 7:20 AM ICT,0.4
16-Nov-23 7:25 AM ICT,0.5
16-Nov-23 7:30 AM ICT,0.5
16-Nov-23 7:35 AM ICT,0.3
16-Nov-23 7:40 AM ICT,0.4
16-Nov-23 7:45 AM ICT,0.6
16-Nov-23 7:50 AM ICT,0.4
16-Nov-23 7:55 AM ICT,0.9
16-Nov-23 8:00 AM ICT,2.9
16-Nov-23 8:05 AM ICT,3.1
16-Nov-23 8:10 AM ICT,4.5
16-Nov-23 8:15 AM ICT,7.5
16-Nov-23 8:20 AM ICT,9.0
16-Nov-23 8:25 AM ICT,11.5
16-Nov-23 8:30 AM ICT,10.0
16-Nov-23 8:35 AM ICT,12.6
16-Nov-23 8:40 AM ICT,11.3
16-Nov-23 8:45 AM ICT,11.6
16-Nov-23 8:50 AM ICT,12.1
16-Nov-23 8:55 AM ICT,21.8
16-Nov-23 9:00 AM ICT,33.1
16-Nov-23 9:05 AM ICT,26.3
16-Nov-23 9:10 AM ICT,30.2
16-Nov-23 9:15 AM ICT,26.6
16-Nov-23 9:20 AM ICT,30.8
16-Nov-23 9:25 AM ICT,29.9
16-Nov-23 9:30 AM ICT,27.1
16-Nov-23 9:35 AM ICT,27.8
16-Nov-23 9:40 AM ICT,29.4
16-Nov-23 9:45 AM ICT,27.5
16-Nov-23 9:50 AM ICT,19.4
16-Nov-23 9:55 AM ICT,20.2
16-Nov-23 10:00 AM ICT,17.8
16-Nov-23 10:05 AM ICT,18.9
16-Nov-23 10:10 AM ICT,19.5
16-Nov-23 10:15 AM ICT,20.4
16-Nov-23 10:20 AM ICT,29.3
16-Nov-23 10:25 AM ICT,37.8
16-Nov-23 10:30 AM ICT,38.8
16-Nov-23 10:35 AM ICT,34.4
16-Nov-23 10:40 AM ICT,20.8
16-Nov-23 10:45 AM ICT,21.4
16-Nov-23 10:50 AM ICT,21.9
16-Nov-23 10:55 AM ICT,23.4
16-Nov-23 11:00 AM ICT,19.0
16-Nov-23 11:05 AM ICT,21.7
16-Nov-23 11:10 AM ICT,22.2
16-Nov-23 11:15 AM ICT,19.0
16-Nov-23 11:20 AM ICT,19.2
16-Nov-23 11:25 AM ICT,23.7
16-Nov-23 11:30 AM ICT,21.8
16-Nov-23 11:35 AM ICT,21.6
16-Nov-23 11:40 AM ICT,23.4
16-Nov-23 11:45 AM ICT,16.2
16-Nov-23 11:50 AM ICT,16.9
16-Nov-23 11:55 AM ICT,18.7
16-Nov-23 12:00 PM ICT,14.4
16-Nov-23 12:05 PM ICT,16.1
16-Nov-23 12:10 PM ICT,9.1
16-Nov-23 12:15 PM ICT,14.9
16-Nov-23 12:20 PM ICT,12.7
16-Nov-23 12:25 PM ICT,12.1
16-Nov-23 12:30 PM ICT,8.6
16-Nov-23 12:35 PM ICT,8.4
16-Nov-23 12:40 PM ICT,6.1
16-Nov-23 12:45 PM ICT,7.9
16-Nov-23 12:50 PM ICT,7.4
16-Nov-23 12:55 PM ICT,6.1
16-Nov-23 1:00 PM ICT,8.9
16-Nov-23 1:05 PM ICT,7.2
16-Nov-23 1:10 PM ICT,8.2
16-Nov-23 1:15 PM ICT,8.9
16-Nov-23 1:20 PM ICT,11.4
16-Nov-23 1:25 PM ICT,7.8
16-Nov-23 1:30 PM ICT,11.8
16-Nov-23 1:35 PM ICT,16.4
16-Nov-23 1:40 PM ICT,20.2
16-Nov-23 1:45 PM ICT,19.1
16-Nov-23 1:50 PM ICT,18.6
16-Nov-23 1:55 PM ICT,16.9
16-Nov-23 2:00 PM ICT,16.8
16-Nov-23 2:05 PM ICT,18.8
16-Nov-23 2:10 PM ICT,17.3
16-Nov-23 2:15 PM ICT,20.1
16-Nov-23 2:20 PM ICT,19.3
16-Nov-23 2:25 PM ICT,24.4
16-Nov-23 2:30 PM ICT,19.8
16-Nov-23 2:35 PM ICT,17.4
16-Nov-23 2:40 PM ICT,20.0
16-Nov-23 2:45 PM ICT,18.1
16-Nov-23 2:50 PM ICT,23.2
16-Nov-23 2:55 PM ICT,15.3
