Timestamp,SURE_KW(kW)
16-Sep-23 1:05 AM ICT,0.8
16-Sep-23 1:10 AM ICT,0.7
16-Sep-23 1:15 AM ICT,0.8
16-Sep-23 1:20 AM ICT,0.6
16-Sep-23 1:25 AM ICT,0.6
16-Sep-23 1:30 AM ICT,0.9
16-Sep-23 1:35 AM ICT,0.6
16-Sep-23 1:40 AM ICT,0.6
16-Sep-23 1:45 AM ICT,0.8
16-Sep-23 1:50 AM ICT,0.5
16-Sep-23 1:55 AM ICT,0.6
16-Sep-23 2:00 AM ICT,0.9
16-Sep-23 2:05 AM ICT,0.6
16-Sep-23 2:10 AM ICT,0.6
16-Sep-23 2:15 AM ICT,0.8
16-Sep-23 2:20 AM ICT,0.6
16-Sep-23 2:25 AM ICT,0.5
16-Sep-23 2:30 AM ICT,0.8
16-Sep-23 2:35 AM ICT,0.6
16-Sep-23 2:40 AM ICT,0.6
16-Sep-23 2:45 AM ICT,0.9
16-Sep-23 2:50 AM ICT,0.6
16-Sep-23 2:55 AM ICT,0.6
16-Sep-23 3:00 AM ICT,0.5
16-Sep-23 3:05 AM ICT,0.7
16-Sep-23 3:10 AM ICT,0.6
16-Sep-23 3:15 AM ICT,0.7
16-Sep-23 3:20 AM ICT,0.9
16-Sep-23 3:25 AM ICT,0.7
16-Sep-23 3:30 AM ICT,0.7
16-Sep-23 3:35 AM ICT,0.8
16-Sep-23 3:40 AM ICT,0.6
16-Sep-23 3:45 AM ICT,0.6
16-Sep-23 3:50 AM ICT,0.7
16-Sep-23 3:55 AM ICT,0.8
16-Sep-23 4:00 AM ICT,0.7
16-Sep-23 4:05 AM ICT,0.7
16-Sep-23 4:10 AM ICT,0.9
16-Sep-23 4:15 AM ICT,0.6
16-Sep-23 4:20 AM ICT,0.6
16-Sep-23 4:25 AM ICT,0.9
16-Sep-23 4:30 AM ICT,0.7
16-Sep-23 4:35 AM ICT,0.7
16-Sep-23 4:40 AM ICT,0.8
16-Sep-23 4:45 AM ICT,0.7
16-Sep-23 4:50 AM ICT,0.5
16-Sep-23 4:55 AM ICT,0.7
16-Sep-23 5:00 AM ICT,0.5
16-Sep-23 5:05 AM ICT,0.6
16-Sep-23 5:10 AM ICT,0.8
16-Sep-23 5:15 AM ICT,0.6
16-Sep-23 5:20 AM ICT,0.6
16-Sep-23 5:25 AM ICT,0.7
16-Sep-23 5:30 AM ICT,0.4
16-Sep-23 5:35 AM ICT,0.3
16-Sep-23 5:40 AM ICT,0.6
16-Sep-23 5:45 AM ICT,0.3
16-Sep-23 5:50 AM ICT,0.3
16-Sep-23 5:55 AM ICT,0.5
16-Sep-23 6:00 AM ICT,0.3
16-Sep-23 6:05 AM ICT,0.2
16-Sep-23 6:10 AM ICT,0.4
16-Sep-23 6:15 AM ICT,0.3
16-Sep-23 6:20 AM ICT,0.3
16-Sep-23 6:25 AM ICT,0.5
16-Sep-23 6:30 AM ICT,0.5
16-Sep-23 6:35 AM ICT,0.4
16-Sep-23 6:40 AM ICT,0.3
16-Sep-23 6:45 AM ICT,0.4
16-Sep-23 6:50 AM ICT,0.3
16-Sep-23 6:55 AM ICT,0.4
16-Sep-23 7:00 AM ICT,0.5
16-Sep-23 7:05 AM ICT,0.4
16-Sep-23 7:10 AM ICT,0.4
16-Sep-23 7:15 AM ICT,0.5
16-Sep-23 7:20 AM ICT,0.3
16-Sep-23 7:25 AM ICT,0.3
16-Sep-23 7:30 AM ICT,0.6
16-Sep-23 7:35 AM ICT,0.4
16-Sep-23 7:40 AM ICT,0.4
16-Sep-23 7:45 AM ICT,0.6
16-Sep-23 7:50 AM ICT,0.6
16-Sep-23 7:55 AM ICT,0.7
16-Sep-23 8:00 AM ICT,0.9
16-Sep-23 8:05 AM ICT,0.7
16-Sep-23 8:10 AM ICT,0.8
16-Sep-23 8:15 AM ICT,6.8
16-Sep-23 8:20 AM ICT,2.9
16-Sep-23 8:25 AM ICT,1.1
16-Sep-23 8:30 AM ICT,3.9
16-Sep-23 8:35 AM ICT,5.7
16-Sep-23 8:40 AM ICT,5.4
16-Sep-23 8:45 AM ICT,6.1
16-Sep-23 8:50 AM ICT,5.5
16-Sep-23 8:55 AM ICT,7.0
16-Sep-23 9:00 AM ICT,8.5
16-Sep-23 9:05 AM ICT,7.6
16-Sep-23 9:10 AM ICT,10.0
16-Sep-23 9:15 AM ICT,10.3
16-Sep-23 9:20 AM ICT,8.8
16-Sep-23 9:25 AM ICT,9.0
16-Sep-23 9:30 AM ICT,9.4
16-Sep-23 9:35 AM ICT,7.4
16-Sep-23 9:40 AM ICT,9.1
16-Sep-23 9:45 AM ICT,8.0
16-Sep-23 9:50 AM ICT,6.1
16-Sep-23 9:55 AM ICT,5.5
16-Sep-23 10:00 AM ICT,4.8
16-Sep-23 10:05 AM ICT,6.4
16-Sep-23 10:10 AM ICT,4.7
16-Sep-23 10:15 AM ICT,5.6
16-Sep-23 10:20 AM ICT,7.0
16-Sep-23 10:25 AM ICT,11.2
